OrderID,CustomerID,OrderDate,Product,Category,Quantity,Price,TotalAmount,PaymentMethod,Country
1000001,CUST0395,2025-04-04,Vacuum Cleaner,Appliances,2,149.99,299.98,Debit Card,France
1000002,CUST0784,2024-12-14,Laptop,Electronics,2,799.99,1599.98,Debit Card,France
1000003,CUST0575,2025-01-28,Air Fryer,Appliances,2,99.99,199.98,Debit Card,Canada
1000004,CUST0365,2025-01-19,Headphones,Electronics,5,89.99,449.95,Debit Card,Germany
1000005,CUST0234,2025-04-21,Laptop,Electronics,2,799.99,1599.98,Debit Card,Canada
1000006,CUST0431,2025-04-10,Coffee Maker,Appliances,1,59.99,59.99,UPI,UK
1000007,CUST0994,2025-05-19,Tablet,Electronics,3,299.99,899.97,Credit Card,Germany
1000008,CUST0119,2024-12-25,Desk Chair,Furniture,4,129.99,519.96,UPI,USA
1000009,CUST0740,2025-02-23,Headphones,Electronics,5,89.99,449.95,Debit Card,France
1000010,CUST0058,2024-12-15,Desk Chair,Furniture,1,129.99,129.99,PayPal,Germany
1000011,CUST0069,2025-01-18,Bookshelf,Furniture,2,89.99,179.98,PayPal,Canada
1000012,CUST0664,2025-03-10,Smartphone,Electronics,2,599.49,1198.98,Debit Card,France
1000013,CUST0511,2024-12-14,Smartphone,Electronics,2,599.49,1198.98,PayPal,UK
1000014,CUST0401,2025-01-14,Desk Chair,Furniture,2,129.99,259.98,Credit Card,Canada
1000015,CUST0788,2025-04-05,Bookshelf,Furniture,2,89.99,179.98,PayPal,Germany
1000016,CUST0231,2025-03-18,Air Fryer,Appliances,4,99.99,399.96,Credit Card,UK
1000017,CUST0096,2025-01-18,Bookshelf,Furniture,1,89.99,89.99,PayPal,France
1000018,CUST0608,2025-03-26,Air Fryer,Appliances,5,99.99,499.95,Credit Card,Germany
1000019,CUST0143,2025-05-04,Smartphone,Electronics,1,599.49,599.49,UPI,USA
1000020,CUST0277,2024-12-11,Bookshelf,Furniture,3,89.99,269.97,PayPal,Germany
1000021,CUST0756,2025-05-04,Headphones,Electronics,4,89.99,359.96,Credit Card,France
1000022,CUST0714,2025-04-14,Air Fryer,Appliances,1,99.99,99.99,UPI,Canada
1000023,CUST0868,2025-02-09,Coffee Maker,Appliances,2,59.99,119.98,PayPal,UK
1000024,CUST0860,2025-01-06,Air Fryer,Appliances,1,99.99,99.99,UPI,France
1000025,CUST0182,2025-05-31,Laptop,Electronics,1,799.99,799.99,PayPal,India
1000026,CUST0516,2025-02-08,Monitor,Electronics,1,199.99,199.99,Credit Card,France
1000027,CUST0454,2024-12-26,Tablet,Electronics,3,299.99,899.97,PayPal,India
1000028,CUST0404,2024-12-27,Desk Chair,Furniture,1,129.99,129.99,UPI,India
1000029,CUST0743,2025-05-11,Air Fryer,Appliances,1,99.99,99.99,PayPal,India
1000030,CUST0916,2025-03-28,Smartphone,Electronics,4,599.49,2397.96,Debit Card,UK
1000031,CUST0158,2025-05-04,Monitor,Electronics,2,199.99,399.98,UPI,Canada
1000032,CUST0706,2025-04-20,Headphones,Electronics,5,89.99,449.95,PayPal,France
1000033,CUST0583,2025-03-16,Headphones,Electronics,2,89.99,179.98,PayPal,France
1000034,CUST0057,2025-06-03,Laptop,Electronics,5,799.99,3999.95,PayPal,Germany
1000035,CUST0740,2025-02-16,Coffee Maker,Appliances,4,59.99,239.96,UPI,Germany
1000036,CUST0398,2025-03-19,Desk Chair,Furniture,5,129.99,649.95,Debit Card,UK
1000037,CUST0072,2025-05-08,Vacuum Cleaner,Appliances,1,149.99,149.99,Credit Card,India
1000038,CUST0292,2025-03-31,Desk Chair,Furniture,4,129.99,519.96,Debit Card,Canada
1000039,CUST0384,2025-05-14,Laptop,Electronics,2,799.99,1599.98,Debit Card,Germany
